Ingame name,Award criteria,Ingame order,Internal id,Internal name,Category,# of tiers,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Reward tier 1,Reward tier 2,Reward tier 3,Reward tier 4,Reward tier 5,Reward tier 6,Sequential?,???,???,???,,,
(island name) Miles!,Awarded when Nook Miles program is first unlocked,1,53,ImmigratetoIsland,Event,1,1,0,0,0,0,500,500,1000,2000,3000,0,Yes,4294967295,4294967295,0,,,
Angling for Perfection!,Number of total fish caught,2,0,CatchFish,Fish,5,10,100,500,2000,5000,300,500,1000,2000,3000,0,Yes,3,4294967295,0,,,
Island Ichthyologist,Number of unique fish caught,3,3,FillFishList,Fish,5,10,20,40,60,80,300,500,1000,2000,3000,0,Yes,4294967295,4294967295,0,,,
Island Togetherness,Number of days in which you've talked to every one of your villagers,4,68,GreetAllVillager,Communication,5,1,10,20,30,50,300,500,1000,2000,3000,0,Yes,3,4294967295,0,,,
You've Got the Bug,Number of total bugs caught,5,1,CatchInsect,Insect,5,10,100,500,2000,5000,300,500,1000,2000,3000,0,Yes,3,4294967295,0,,,
Bugs Don't Bug Me,Number of unique bugs caught,6,4,FillInsectList,Insect,5,10,20,40,60,80,300,500,1000,2000,3000,0,Yes,4294967295,4294967295,0,,,
Have a Nice DIY!,Number of DIY recipes collected,7,55,FillRecipeList,DIY,5,10,50,100,150,200,300,500,1000,2000,3000,0,Yes,4294967295,4294967295,0,,,
DIY Tools,Number of tools you've crafted,8,72,DIYTool,DIY,5,5,50,200,1000,3000,300,500,1000,2000,3000,0,Yes,4294967295,4294967295,0,,,
DIY Furniture,Number of furniture pieces you've crafted,9,73,DIYFurniture,DIY,5,5,50,200,1000,3000,300,500,1000,2000,3000,0,Yes,4294967295,4294967295,0,,,
Furniture Freshener,Number of times you've customized furniture at a workbench,10,14,RemakeFurniture,DIY,5,5,20,50,100,200,300,500,1000,2000,3000,0,Yes,4294967295,4294967295,0,,,
Rough-hewn,Number of times you've chopped wood from trees,11,67,StrikeWood,DIY,5,20,100,500,2000,5000,300,500,1000,2000,3000,0,Yes,4294967295,4294967295,30,,,
Trashed Tools,Number of tools you've broken,12,49,BreakTool,HHA,5,1,20,50,100,200,300,500,1000,2000,3000,0,Yes,4294967295,4294967295,0,,,
Rock-Splitting Champ,Awarded the first time you get 8 ores/stones from striking a rock,13,57,StrikeRock8Times,HHA,1,1,0,0,0,0,500,500,1000,2000,3000,0,Yes,4294967295,4294967295,0,,,
Bona Fide Bone Finder!,Awarded the first time you dig up a fossil,14,61,DigFossil,HHA,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,4294967295,4294967295,0,,,
Fossil Assessment,Number of fossils you've had assessed by Blathers,15,62,JudgeFossil,HHA,5,5,30,100,300,500,300,500,1000,2000,3000,0,Yes,4294967295,4294967295,0,,,
Greedy Weeder,Number of weed clumps you've sold to the shop,16,37,SellWeed,Plant,5,50,200,1000,2000,3000,300,500,1000,2000,3000,0,Yes,4294967295,4294967295,0,,,
Flower Power,Number of flower seeds you've planted (does not count digging up and replanting existing flowers),17,6,PlantFlowerSeed,Plant,5,10,50,100,200,300,300,500,1000,2000,3000,0,Yes,3,4294967295,0,,,
Flower Tender,Number of flowers you've watered,18,23,WaterPlant,Plant,5,10,50,100,500,1000,300,500,1000,2000,3000,0,Yes,4294967295,4294967295,60,,,
Tomorrow's Trees Today,Number of tree saplings you've planted (does not count planting fruits or replanting existing trees),19,8,PlantTreeSeedling,Plant,3,5,10,30,0,0,300,500,1000,2000,3000,0,Yes,4294967295,4294967295,0,,,
Pick of the Bunch,Number of fruits you've sold to the shop,20,70,SellFruit,Plant,5,20,100,500,1000,3000,300,500,1000,2000,3000,0,Yes,3,4294967295,0,,,
Fruit Roots,"Awarded for each unique fruit tree you've planted (cherry, orange, pear, peach, apple, and coconut)",21,7,PlantFruit,Plant,6,0,0,0,0,0,100,200,300,500,700,1000,No,4294967295,4294967295,0,,,
