EN name,JP name,Spawn Location,Behavior (may be museum behavior),Size,Rarity,id,Is fish?,Reduced rarity during rain/snow,,,,,,,
blue marlin,Kajiki,Pier,Predator,XX-Large,Rare,62,Yes,Yes,,,,,,,
coelacanth,Sirakansu,Sea,Swims and waits,XX-Large,Ultra-rare,71,Yes,Yes,,,,,,,
horse mackerel,Aji,Sea,Keeps swimming,Small,Common,51,Yes,No,,,,,,,
ocean sunfish,Manbou,Sea,Keeps swimming,Large w/Fin,Uncommon,65,Yes,Yes,,,,,,,
tuna,Maguro,Pier,Predator,XX-Large,Rare,61,Yes,Yes,,,,,,,
anchovy,Antyobi,Sea,Legion,Small,Common,128,Yes,No,,,,,,,
angelfish,Angelfish,River,Swims in circles,Small,Uncommon,34,Yes,No,,,,,,,
arowana,Arowana,River,Keeps swimming,Large,Rare,37,Yes,No,,,,,,,
barred knifejaw,Ishidai,Sea,Swims in circles,Medium,Uncommon,52,Yes,No,,,,,,,
barreleye,Demenigisu,Sea,Keeps swimming,Small,Ultra-rare,131,Yes,No,,,,,,,
betta,Beta,River,Keeps swimming,Small,Uncommon,124,Yes,No,,,,,,,
bitterling,Tanago,River,Swims in circles,X-Small,Common,0,Yes,No,,,,,,,
Boot,Boot,Anywhere,Keeps swimming,Medium,Common,133,No,No,,,,,,,
black bass,Blackbass,River,Keeps swimming,Large,Common,21,Yes,No,,,,,,,
Can,Can,Anywhere,Keeps swimming,Small,Common,132,No,No,,,,,,,
blowfish,Fugu,Sea,Swims in circles,Medium,Uncommon,49,Yes,No,,,,,,,
bluegill,Blueguill,River,Keeps swimming,Small,Common,19,Yes,No,,,,,,,
butterfly fish,Chouchouuo,Sea,Keeps swimming,Small,Common,46,Yes,No,,,,,,,
carp,Koi,Pond,Keeps swimming,Large,Common,5,Yes,No,,,,,,,
catfish,Namazu,Pond,Floats,Large,Common,16,Yes,No,,,,,,,
char,Ooiwana,River (Cliffs),Swims upstream,Medium,Uncommon,26,Yes,No,,,,,,,
cherry salmon,Yamame,River (Cliffs),Swims upstream,Medium,Common,25,Yes,No,,,,,,,
clown fish,Kumanomi,Sea,Keeps swimming,X-Small,Common,44,Yes,No,,,,,,,
