"# COVERS FURNITURE, TOOLS, SMARTPHONE, CRAFTPHONE, AND ONLY CYRANO'S PHOTOS (all photos have the same body colors/format)",,,,,,,,,
ID,Filename Prefix,Item,Variant,Body Color,Pattern,Body Color Category,Pattern Category,Item Type,Full ID
6426,BromideNpcNmlAnt00,Cyrano's photo,0_0,Natural wood,NA,Frame,NA,Bromide,BromideNpcNmlAnt00_Remake_0_0
6426,BromideNpcNmlAnt00,Cyrano's photo,1_0,Dark wood,NA,Frame,NA,Bromide,BromideNpcNmlAnt00_Remake_1_0
6426,BromideNpcNmlAnt00,Cyrano's photo,2_0,Pastel,NA,Frame,NA,Bromide,BromideNpcNmlAnt00_Remake_2_0
6426,BromideNpcNmlAnt00,Cyrano's photo,3_0,White,NA,Frame,NA,Bromide,BromideNpcNmlAnt00_Remake_3_0
6426,BromideNpcNmlAnt00,Cyrano's photo,4_0,Pop,NA,Frame,NA,Bromide,BromideNpcNmlAnt00_Remake_4_0
6426,BromideNpcNmlAnt00,Cyrano's photo,5_0,Colorful,NA,Frame,NA,Bromide,BromideNpcNmlAnt00_Remake_5_0
6426,BromideNpcNmlAnt00,Cyrano's photo,6_0,Silver,NA,Frame,NA,Bromide,BromideNpcNmlAnt00_Remake_6_0
6426,BromideNpcNmlAnt00,Cyrano's photo,7_0,Gold,NA,Frame,NA,Bromide,BromideNpcNmlAnt00_Remake_7_0
7588,ToolStickMushroom,mushroom wand,0_0,Ordinary mushroom,NA,Mushroom type,NA,ChangeStick,ToolStickMushroom_Remake_0_0
7588,ToolStickMushroom,mushroom wand,1_0,White mushroom,NA,Mushroom type,NA,ChangeStick,ToolStickMushroom_Remake_1_0
7588,ToolStickMushroom,mushroom wand,2_0,Strange mushroom,NA,Mushroom type,NA,ChangeStick,ToolStickMushroom_Remake_2_0
7588,ToolStickMushroom,mushroom wand,3_0,Red mushroom,NA,Mushroom type,NA,ChangeStick,ToolStickMushroom_Remake_3_0
7588,ToolStickMushroom,mushroom wand,4_0,Yellow mushroom,NA,Mushroom type,NA,ChangeStick,ToolStickMushroom_Remake_4_0
4377,FtrDoorOrnamentWreathOrnament,ornament wreath,0_0,Blue,NA,Color,NA,DoorDeco,FtrDoorOrnamentWreathOrnament_Remake_0_0
4377,FtrDoorOrnamentWreathOrnament,ornament wreath,1_0,Gold,NA,Color,NA,DoorDeco,FtrDoorOrnamentWreathOrnament_Remake_1_0
4377,FtrDoorOrnamentWreathOrnament,ornament wreath,2_0,Silver,NA,Color,NA,DoorDeco,FtrDoorOrnamentWreathOrnament_Remake_2_0
4377,FtrDoorOrnamentWreathOrnament,ornament wreath,3_0,Green,NA,Color,NA,DoorDeco,FtrDoorOrnamentWreathOrnament_Remake_3_0
4377,FtrDoorOrnamentWreathOrnament,ornament wreath,4_0,Red,NA,Color,NA,DoorDeco,FtrDoorOrnamentWreathOrnament_Remake_4_0
4377,FtrDoorOrnamentWreathOrnament,ornament wreath,5_0,Light green,NA,Color,NA,DoorDeco,FtrDoorOrnamentWreathOrnament_Remake_5_0
4377,FtrDoorOrnamentWreathOrnament,ornament wreath,6_0,Pink,NA,Color,NA,DoorDeco,FtrDoorOrnamentWreathOrnament_Remake_6_0
4377,FtrDoorOrnamentWreathOrnament,ornament wreath,7_0,Purple,NA,Color,NA,DoorDeco,FtrDoorOrnamentWreathOrnament_Remake_7_0
4738,FtrDoorPlateSkull,skull doorplate,0_0,Brown,NA,NA,NA,DoorDeco,FtrDoorPlateSkull_Remake_0_0
4738,FtrDoorPlateSkull,skull doorplate,1_0,White,NA,NA,NA,DoorDeco,FtrDoorPlateSkull_Remake_1_0
4751,FtrDoorPlateBone,bone doorplate,0_0,Brown,NA,Color,NA,DoorDeco,FtrDoorPlateBone_Remake_0_0
4751,FtrDoorPlateBone,bone doorplate,1_0,White,NA,Color,NA,DoorDeco,FtrDoorPlateBone_Remake_1_0
4751,FtrDoorPlateBone,bone doorplate,2_0,Black,NA,Color,NA,DoorDeco,FtrDoorPlateBone_Remake_2_0
4751,FtrDoorPlateBone,bone doorplate,3_0,Pink,NA,Color,NA,DoorDeco,FtrDoorPlateBone_Remake_3_0
4751,FtrDoorPlateBone,bone doorplate,4_0,Red,NA,Color,NA,DoorDeco,FtrDoorPlateBone_Remake_4_0
4751,FtrDoorPlateBone,bone doorplate,5_0,Yellow,NA,Color,NA,DoorDeco,FtrDoorPlateBone_Remake_5_0
4751,FtrDoorPlateBone,bone doorplate,6_0,Blue,NA,Color,NA,DoorDeco,FtrDoorPlateBone_Remake_6_0
4751,FtrDoorPlateBone,bone doorplate,7_0,Natural wood,NA,Color,NA,DoorDeco,FtrDoorPlateBone_Remake_7_0
4752,FtrDoorOrnamentIron,iron doorplate,0_0,Black,NA,Color,NA,DoorDeco,FtrDoorOrnamentIron_Remake_0_0
4752,FtrDoorOrnamentIron,iron doorplate,1_0,White,NA,Color,NA,DoorDeco,FtrDoorOrnamentIron_Remake_1_0
4752,FtrDoorOrnamentIron,iron doorplate,2_0,Blue,NA,Color,NA,DoorDeco,FtrDoorOrnamentIron_Remake_2_0
4752,FtrDoorOrnamentIron,iron doorplate,3_0,Silver,NA,Color,NA,DoorDeco,FtrDoorOrnamentIron_Remake_3_0
4752,FtrDoorOrnamentIron,iron doorplate,4_0,Ash brown,NA,Color,NA,DoorDeco,FtrDoorOrnamentIron_Remake_4_0
4752,FtrDoorOrnamentIron,iron doorplate,5_0,Gold,NA,Color,NA,DoorDeco,FtrDoorOrnamentIron_Remake_5_0
4752,FtrDoorOrnamentIron,iron doorplate,6_0,Pink,NA,Color,NA,DoorDeco,FtrDoorOrnamentIron_Remake_6_0
4752,FtrDoorOrnamentIron,iron doorplate,7_0,Brown,NA,Color,NA,DoorDeco,FtrDoorOrnamentIron_Remake_7_0
4764,FtrDoorOrnamentFish,fish doorplate,0_0,Light blue,NA,Color,NA,DoorDeco,FtrDoorOrnamentFish_Remake_0_0
